OHE Mast,Latitude,Longitude
1004/4  ,20.15736833,81.13002167
1004/3  ,20.15773333,81.129665
1004/2  ,20.158085,81.12932167
1004/1  ,20.158465,81.128935
1003/18 ,20.158865,81.12857
1003/17 ,20.159245,81.12818667
1003/16 ,20.15963667,81.127805
1003/15 ,20.15999,81.12747167
1003/14 ,20.16039333,81.12711833
1003/13 ,20.160835,81.126725
1003/12 ,20.16127667,81.12635167
1003/11 ,20.16168667,81.12598833
1003/10 ,20.16211833,81.12565167
1003/9  ,20.16251667,81.12536
1003/8  ,20.16292167,81.12507167
1003/7  ,20.16331167,81.124765
1003/6  ,20.163815,81.124465
1003/5  ,20.16421833,81.12417333
1003/4  ,20.16462167,81.12388
1003/3  ,20.16504833,81.12356667
1003/2  ,20.165495,81.12321667
1003/1  ,20.16597,81.12287333
1002/17 ,20.166405,81.122565
1002/16 ,20.16686,81.12223
1002/15 ,20.16732167,81.12187
1002/14 ,20.16778833,81.12154167
1002/13 ,20.16823167,81.12122
1002/12 ,20.16869,81.120875
1002/11 ,20.16914833,81.12054
1002/10 ,20.16961667,81.120185
1002/9  ,20.17003833,81.11983
1002/8  ,20.17051667,81.11951
1002/7  ,20.17099,81.11916
1002/6  ,20.17144833,81.11882333
1002/5  ,20.171885,81.11849833
1002/4  ,20.17222167,81.11825333
1002/3  ,20.17262333,81.11796167
1002/2  ,20.17305667,81.11763667
1002/1  ,20.17348667,81.11732333
1001/18 ,20.17394167,81.11697167
1001/17 ,20.17441833,81.11661167
1001/16 ,20.17488167,81.11627
1001/15 ,20.17530833,81.11596
1001/14 ,20.17566,81.11569333
1001/13 ,20.17603,81.11542
1001/12 ,20.176365,81.115175
1001/11 ,20.17669833,81.11492167
1001/10 ,20.17697833,81.11467833
1001/9  ,20.17725,81.11441833
1001/8  ,20.177505,81.11413833
1001/7  ,20.17775833,81.113865
1001/6  ,20.17809667,81.11347833
1001/5  ,20.17848667,81.11303667
1001/4  ,20.17883167,81.11262667
1001/3  ,20.17911,81.112305
1001/2  ,20.1795,81.11186
1001/1  ,20.17988167,81.11142167
1000/17 ,20.18023333,81.11101667
1000/16 ,20.18063667,81.11057833
1000/15 ,20.18101333,81.11014
1000/14 ,20.18137667,81.10972833
1000/13 ,20.18171167,81.109355
1000/12 ,20.18208667,81.10896
1000/11 ,20.18245667,81.10855
1000/10 ,20.18286167,81.10812667
1000/9  ,20.18327833,81.10769
1000/8  ,20.18360667,81.107335
1000/7  ,20.18399667,81.10691833
1000/6  ,20.18439833,81.10647667
1000/5  ,20.18479833,81.106055
1000/4  ,20.18516333,81.105655
1000/3  ,20.185535,81.105245
1000/2  ,20.18593167,81.10482
1000/1  ,20.18633,81.10439
999/17  ,20.18667667,81.10401167
999/16  ,20.18697833,81.10366333
999/15  ,20.18732167,81.10329167
999/14  ,20.18769667,81.10290667
999/13  ,20.18807833,81.10245667
999/12  ,20.18847833,81.10201833
999/11  ,20.18885333,81.10162833
999/10  ,20.18924667,81.10119667
999/9   ,20.18964833,81.10075
999/8   ,20.19001667,81.10035
999/7   ,20.19041167,81.09992167
999/6   ,20.19075833,81.09955333
999/5   ,20.19107167,81.09920833
999/4   ,20.19135167,81.09890167
999/3   ,20.191715,81.098505
999/2   ,20.192105,81.09807167
999/1   ,20.19247333,81.09767333
998/18  ,20.192885,81.09723833
998/17  ,20.19319333,81.09691
998/16  ,20.19348667,81.09661167
998/15  ,20.19378167,81.09633167
998/14  ,20.19412,81.09606833
998/13  ,20.19447833,81.09580333
998/12  ,20.19493,81.095485
998/11  ,20.19540667,81.09515333
998/10  ,20.195885,81.09481167
998/9   ,20.19634833,81.09446
998/8   ,20.19677667,81.09415167
998/7   ,20.19723667,81.09382333
998/6   ,20.197715,81.09347667
998/5   ,20.19815333,81.09316667
998/4   ,20.19862167,81.09284167
998/3   ,20.19910333,81.09249333
998/2   ,20.19949667,81.09219667
998/1   ,20.199965,81.09186167
997/18  ,20.20042167,81.09152
997/17  ,20.20086667,81.09121167
997/16  ,20.20133,81.090875
997/15  ,20.20181,81.090525
997/14  ,20.20218333,81.09025833
997/13  ,20.20261167,81.08993833
997/12  ,20.20307,81.08959667
997/11  ,20.20350667,81.08927333
997/10  ,20.20387,81.08901167
997/9   ,20.20421667,81.08878
997/8   ,20.204575,81.08857667
997/7   ,20.20493167,81.08838
997/6   ,20.20531,81.08821
997/5   ,20.20568833,81.08805833
997/4   ,20.20611,81.08791167
997/3   ,20.20665833,81.08774167
997/2   ,20.20719667,81.08754333
997/1   ,20.20771167,81.08739
996/16  ,20.20824667,81.0872
996/15  ,20.20879333,81.08702167
996/14  ,20.20932667,81.086845
996/13  ,20.20983333,81.086675
996/12  ,20.210365,81.08648667
996/11  ,20.21091333,81.08630167
996/10  ,20.21140667,81.08613667
996/9   ,20.21194667,81.08594667
996/8   ,20.21248667,81.085765
996/7   ,20.21303167,81.08558
996/6   ,20.21354167,81.08542667
996/5   ,20.21408,81.08522833
996/4   ,20.21462167,81.08503667
996/3   ,20.21512667,81.08487667
996/2   ,20.21565833,81.08469667
996/1   ,20.2162,81.084505
995/18  ,20.216705,81.084335
995/17  ,20.217245,81.08414833
995/16  ,20.21778833,81.08396833
995/15  ,20.21833,81.0838
995/14  ,20.21881833,81.083625
995/13  ,20.21937333,81.08343333
995/12  ,20.21987333,81.08327
995/11  ,20.220425,81.083085
995/10  ,20.22096167,81.082905
995/9   ,20.221495,81.08271
995/8   ,20.22200333,81.08254
995/7   ,20.22243,81.08240167
995/6   ,20.222765,81.08229167
995/5   ,20.223175,81.08215667
995/4   ,20.22342,81.08205
995/3   ,20.22377167,81.08195333
995/2   ,20.22423833,81.081785
995/1   ,20.22474333,81.08161667
994/18  ,20.22527667,81.08143833
994/17  ,20.22580667,81.08126667
999/16  ,20.22631833,81.08109833
994/15  ,20.22680667,81.08093667
994/14  ,20.22724167,81.08083167
994/13  ,20.22770667,81.08059667
994/12  ,20.22825333,81.08040667
994/11  ,20.22881667,81.08022333
994/10  ,20.22920833,81.08010167
994/9   ,20.22975833,81.07992167
994/8   ,20.230315,81.07972667
994/7      ,20.23082667,81.07957167
994/6   ,20.23131667,81.07940833
994/5   ,20.23182167,81.07924
994/4   ,20.232275,81.07908167
994/3   ,20.23261833,81.07896167
994/2   ,20.233,81.07883
994/1   ,20.233415,81.07871833
993/17  ,20.23388333,81.07854
993/16  ,20.234455,81.07835333
993/15  ,20.23498667,81.078185
993/14  ,20.235535,81.07801
993/13  ,20.23602167,81.07783833
993/12  ,20.23654833,81.07766333
993/11  ,20.23709833,81.07749167
993/10  ,20.2376,81.077315
993/9   ,20.23809667,81.077135
993/8   ,20.23862833,81.07695333
993/7   ,20.23919167,81.076795
993/6   ,20.23973833,81.07660333
993/5   ,20.240235,81.07642
993/4   ,20.24077167,81.07625
993/3   ,20.24131,81.07607667
993/2   ,20.24185,81.075885
993/1   ,20.242355,81.07572333
992/16  ,20.24282333,81.07552667
992/15  ,20.24325,81.07540333
992/14  ,20.24372667,81.07525667
992/13  ,20.24421833,81.075075
992/12  ,20.24477167,81.07489333
992/11  ,20.24531,81.07471833
999/10  ,20.24585833,81.07452667
992/9   ,20.24635667,81.07437
992/8   ,20.24690333,81.07417833
992/7   ,20.24745333,81.07398333
992/6   ,20.24798833,81.0738
992/5   ,20.24849167,81.07363
992/4   ,20.24903,81.07346
992/3   ,20.249575,81.07326833
992/2   ,20.25012333,81.07310167
992/1   ,20.250615,81.07292333
991/19  ,20.25113333,81.07275333
991/18  ,20.25168,81.07257833
991/17  ,20.25222833,81.0724
991/16  ,20.25264667,81.072255
991/15  ,20.25302667,81.07215
991/14  ,20.253445,81.07208167
991/13  ,20.25384833,81.07203
991/12  ,20.25425,81.07199167
991/11  ,20.254655,81.07197833
991/10  ,20.25506667,81.07199833
991/9   ,20.255515,81.07202
991/8   ,20.25608,81.07206333
991/7   ,20.256645,81.07209833
991/6   ,20.257105,81.072135
991/5   ,20.25762167,81.07217333
991/4   ,20.258195,81.07221333
991/3   ,20.25871833,81.07225333
991/2   ,20.25928167,81.07228667
991/1   ,20.25986167,81.07232833
990/17  ,20.26042833,81.07236167
990/16  ,20.26086333,81.072395
990/15  ,20.261345,81.07244
990/14  ,20.26177167,81.07246833
990/13  ,20.26225667,81.072505
990/12  ,20.26282167,81.07254167
990/11  ,20.263385,81.072585
990/10  ,20.26392,81.07261667
990/9   ,20.26448667,81.07265833
990/8   ,20.26505667,81.072705
990/7   ,20.26563167,81.07274667
990/6   ,20.26616667,81.072785
990/5   ,20.26672667,81.07282333
990/4   ,20.26728667,81.07286
990/3   ,20.26786167,81.07289833
990/2   ,20.26831333,81.07294667
990/1   ,20.26872667,81.073
989/22  ,20.26924167,81.07308667
989/21  ,20.26979167,81.073185
989/20  ,20.27036667,81.073285
989/19  ,20.270925,81.073395
989/18  ,20.27131,81.07346
989/17  ,20.271575,81.073475
989/16  ,20.27192333,81.073495
989/15  ,20.27224,81.07348667
989/14  ,20.27256833,81.07343667
989/13  ,20.27284167,81.07338333
989/12  ,20.27315667,81.07329667
989/11  ,20.27346667,81.07317667
989/10  ,20.27375333,81.07303333
989/9   ,20.27404,81.07285667
989/8   ,20.27430167,81.07266667
989/7   ,20.27456,81.07246
989/6   ,20.27485167,81.07215667
989/5   ,20.27512167,81.07190167
989/4   ,20.27546,81.07160333
989/3   ,20.27578833,81.07124333
989/2   ,20.27609,81.07090167
989/1   ,20.27650167,81.07049667
988/24  ,20.27693167,81.07007167
988/23  ,20.2773,81.06968667
988/22  ,20.27765167,81.069325
988/21  ,20.27795833,81.06899
988/20  ,20.278235,81.06870167
988/19  ,20.278615,81.06831833
988/18  ,20.27896833,81.06796
988/17  ,20.279265,81.06771833
988/16  ,20.279505,81.06751
988/15  ,20.27974833,81.067355
988/14  ,20.279995,81.06721167
988/13  ,20.28024667,81.06709667
988/12  ,20.28051167,81.06698333
988/11  ,20.28078,81.066905
988/10  ,20.28106,81.06684667
988/9   ,20.281335,81.06680333
988/8   ,20.28160667,81.06677833
988/7   ,20.28189333,81.06677
988/6   ,20.28218333,81.066795
988/5   ,20.28249833,81.06682167
988/4   ,20.28294833,81.06690667
988/3   ,20.2835,81.06702833
988/2   ,20.28398833,81.06713833
988/1   ,20.28435667,81.067215
987/22  ,20.28483167,81.06733667
987/21  ,20.28531,81.06743667
987/20  ,20.28566667,81.06750167
987/19  ,20.28601167,81.06753833
987/18  ,20.28634,81.06755
987/17  ,20.28666167,81.06753
987/16  ,20.28698667,81.06751
987/15  ,20.28730667,81.06747167
987/14  ,20.28766,81.06739
987/13  ,20.28809,81.06727
987/12  ,20.28851833,81.06714833
987/11  ,20.28906667,81.06698
987/10  ,20.28959,81.06682667
987/9   ,20.29014,81.06667833
987/8   ,20.29052833,81.06654833
987/7   ,20.291025,81.0664
987/6   ,20.29152167,81.06623
987/5   ,20.29204167,81.06608667
987/4   ,20.29243167,81.06597167
987/3   ,20.29273333,81.065875
987/2   ,20.293155,81.06576
987/1A  ,20.29344333,81.06567
986/16A ,20.29377833,81.06556667
986/15A ,20.29428333,81.06542
986/14A ,20.29487333,81.06523667
986/15A ,17.6539,81.29423167
986/14A ,17.6887,81.29481167
986/13A ,17.724,81.2954
986/12A ,17.7592,81.29598667
986/11A ,17.7867,81.296445
986/10A ,17.8201,81.29700167
986/9A  ,17.8521,81.297535
986/8A  ,17.8864,81.29810667
986/7A  ,17.9212,81.29868667
986/6A  ,17.9533,81.29922167
986/5A  ,17.9895,81.299825
986/4A  ,18.0243,81.300405
986/3A  ,18.0598,81.30099667
986/2A  ,18.0881,81.30146833
986/1   ,18.1161,81.301935
985/18  ,18.1474,81.30245667
985/17  ,18.168,81.3028
985/16  ,18.1954,81.30325667
985/15  ,18.2266,81.30377667
985/14  ,18.2607,81.304345
985/13  ,18.2933,81.30488833
985/12  ,18.3286,81.30547667
985/11  ,18.3628,81.30604667
985/10  ,18.3996,81.30666
985/9   ,18.4297,81.30716167
985/8   ,18.4621,81.30770167
985/7   ,18.4851,81.308085
985/6   ,18.5076,81.30846
985/5   ,18.5299,81.30883167
985/4   ,18.5507,81.30917833
985/3   ,18.5754,81.30959
985/2   ,18.5999,81.30999833
985/1   ,18.6245,81.31040833
984/16  ,18.6566,81.31094333
984/15  ,18.6928,81.31154667
984/14  ,18.723,81.31205
984/13  ,18.7508,81.31251333
984/12  ,18.7877,81.31312833
984/11  ,18.825,81.31375
984/10  ,18.8587,81.31431167
984/9   ,18.8939,81.31489833
984/8   ,18.9308,81.31551333
984/7   ,18.9682,81.31613667
984/6   ,19.002,81.3167
984/5   ,19.0383,81.317305
984/4   ,19.0762,81.31793667
984/3   ,19.1106,81.31851
984/2   ,19.1422,81.31903667
984/1   ,19.1756,81.31959333
983/21  ,19.2052,81.32008667
983/20  ,19.2373,81.32062167
983/19  ,19.2696,81.32116
983/18  ,19.2963,81.321605
983/17  ,19.3223,81.32203833
983/16  ,19.3445,81.32240833
983/15  ,19.3641,81.322735
983/14  ,19.3827,81.323045
983/13  ,19.4022,81.32337
983/12  ,19.4215,81.32369167
983/11  ,19.4412,81.32402
983/10  ,19.4639,81.32439833
983/9   ,19.4827,81.32471167
983/8   ,19.5065,81.32510833
983/7   ,19.5275,81.32545833
983/6   ,19.5536,81.32589333
983/5   ,19.577,81.32628333
983/4   ,19.6057,81.32676167
983/3   ,19.6346,81.32724333
983/2   ,19.6662,81.32777
983/1   ,19.6989,81.328315
982/16  ,19.7326,81.32887667
982/15  ,19.7654,81.32942333
982/14  ,19.8002,81.33000333
982/13  ,19.8371,81.33061833
982/12  ,19.8692,81.33115333
982/11  ,19.8969,81.331615
982/10  ,19.933,81.33221667
982/9   ,19.97,81.33283333
982/8   ,20.0017,81.33336167
982/7   ,20.0365,81.33394167
982/6   ,20.0707,81.33451167
982/5   ,20.1065,81.33510833
982/4   ,20.1417,81.335695
982/3   ,20.1765,81.336275
982/2   ,20.209,81.33681667
982/1   ,20.2441,81.33740167
981/16  ,20.2764,81.33794
981/15  ,20.3059,81.33843167
981/14  ,20.3382,81.33897
981/13  ,20.3744,81.33957333
981/12  ,20.4105,81.340175
981/11  ,20.4438,81.34073
981/10  ,20.4773,81.34128833
981/9   ,20.5016,81.34169333
981/8   ,20.5297,81.34216167
981/7   ,20.5555,81.34259167
981/6   ,20.582,81.34303333
981/5   ,20.6092,81.34348667
